sample;metabarcoding_RS;real_RS;nbr_FNI-fail;nbr_FNI-threshold
CMEY01174;10;12;3;0
CMEY01175;3;2;0;0
CMEY01176;7;7;0;0
CMEY01177;9;7;1;1
CMEY01178;7;6;0;0
CMEY01179;16;17;3;0
CMEY01180;4;3;0;0
CMEY01181;3;2;0;0
CMEY01182;5;5;0;0
CMEY01183;1;1;1;0
CMEY01184;4;1;0;0
CMEY01185;6;9;4;0
CMEY01188;11;12;2;0
CMEY01189;10;13;2;1
CMEY01190;7;7;2;0
CMEY01191;6;7;1;1
CMEY01192;4;5;1;0
CMEY01193;12;14;4;2
CMEY01194;12;13;3;0
CMEY01195;6;7;1;1
CMEY01196;12;20;10;2
CMEY01197;5;7;2;0
CMEY01198;10;8;3;0
CMEY01199;5;3;0;0
CMEY01200;7;15;11;0
CMEY01209;10;14;2;4
CMEY01210;6;7;1;3
CMEY01211;7;10;1;2
CMEY01212;6;6;1;1
CMEY01213;9;9;0;3
CMEY01214;8;14;2;4
CMEY01215;1;4;0;3
CMEY01216;4;4;0;0
CMEY01217;3;7;1;3
CMEY01218;9;11;1;1
CMEY01219;11;11;2;0
CMEY01220;7;8;1;0
CMEY01221;6;13;7;1
CMEY01222;4;6;1;3
CMEY01223;2;6;3;1
CMEY01224;10;9;1;1
CMEY01225;7;6;1;0
CMEY01226;9;1;1;0
CMEY01227;9;12;0;4
CMEY01228;0;11;11;0
CMEY01229;4;4;1;0
CMEY01230;2;3;3;0
CMEY01231;5;5;0;1
CMEY01232;3;4;4;0
CMEY01233;3;4;1;0
CMEY01234;7;7;2;1
CMEY01235;3;3;1;0
CMEY01236;6;10;4;0
CMEY01237;5;5;0;0
CMEY01238;1;1;0;0
CMEY01239;4;12;6;2
CMEY01240;12;19;7;2
CMEY01241;1;7;6;0
CMEY01242;5;5;2;0
CMEY01243;5;6;1;3
CMEY01244;4;5;1;1
CMEY01245;7;8;0;1
CMEY01246;12;20;7;2
CMEY01247;7;10;6;0
CMEY01250;2;2;0;0
CMEY01251;8;5;0;0
CMEY01252;9;8;0;0
CMEY01253;4;5;1;0
CMEY01254;6;4;0;0
CMEY01255;2;2;1;0
CMEY01256;3;4;2;0
CMEY01257;5;5;0;0
CMEY01258;6;6;1;0
CMEY01259;7;5;0;0
CMEY01260;3;3;0;0
CMEY01261;5;12;7;0
CMEY01262;8;10;0;2
CMEY01263;6;8;1;1
CMEY01264;1;3;0;2
CMEY01265;8;9;1;0
CMEY01266;6;9;2;1
CMEY01268;8;11;2;1
CMEY01269;16;22;5;1
CMEY01270;5;7;0;2
CMEY01271;10;11;2;1
CMEY01272;13;15;3;0
CMEY01273;5;5;0;0
CMEY01274;6;8;3;0
CMEY01275;6;7;0;1
CMEY01276;4;3;1;0
CMEY01277;5;4;0;0
CMEY01278;5;6;0;2
CMEY01279;10;9;2;2
CMEY01286;9;12;4;0
CMEY01287;5;4;0;0
CMEY01288;2;3;1;0
CMEY01289;16;21;5;0
CMEY01290;14;16;3;0
CMEY01291;6;8;1;2
CMEY01292;5;4;0;0
CMEY01293;6;7;1;0
CMEY01294;7;8;2;0
CMEY01295;7;5;0;0
CMEY01296;9;10;1;0
CMEY01297;11;11;1;1
CMEY01298;9;7;0;0
CMEY01299;11;12;1;0
CMEY01300;14;18;3;2
CMEY01301;9;10;1;0
CMEY01302;15;12;1;0
CMEY01303;10;9;0;0
CMEY01304;17;16;1;0
CMEY01305;4;7;3;0
CMEY01306;7;7;0;1
CMEY01307;10;10;0;0
CMEY01308;13;14;1;0
CMEY01309;8;6;0;0
CMEY01310;18;17;2;0
CMEY01311;3;4;1;0
CMEY01312;6;6;0;0
CMEY01313;4;5;0;1
CMEY01314;8;8;0;0
CMEY01315;3;4;1;0
CMEY01316;4;6;2;0
CMEY01317;13;12;1;1
CMEY01318;11;12;0;2
CMEY01321;4;4;0;0
CMEY01322;3;3;0;0
CMEY01323;0;0;0;0
CMEY01324;8;6;0;0
CMEY01325;13;13;0;0
CMEY01326;10;9;0;0
CMEY01327;12;12;1;0
CMEY01328;21;24;3;1
CMEY01329;3;4;1;0
CMEY01330;18;14;4;1
CMEY01331;11;12;1;0
CMEY01332;6;12;5;1
CMEY01333;5;5;0;0
CMEY01334;6;7;1;0
CMEY01335;3;8;6;1
CMEY01336;11;13;2;0
CMEY01337;13;6;2;0
CMEY01338;16;14;1;0
CMEY01339;11;2;0;0
CMEY01340;7;5;0;0
CMEY01341;7;7;0;0
CMEY01342;7;2;0;0
CMEY01343;13;10;0;0
CMEY01344;12;17;5;0
CMEY01345;4;6;2;1
CMEY01346;21;16;5;0
CMEY01347;14;14;1;0
CMEY01348;7;9;4;0
CMEY01349;8;10;2;0
CMEY01350;14;10;1;0
CMEY01351;5;9;4;0
CMEY01352;6;9;2;1
CMEY01353;9;8;1;1
CMEY01354;6;6;0;1
CMEY01355;9;8;2;2
CMEY01356;2;2;0;0
CMEY01357;0;0;0;0
CMEY01358;4;4;0;0
CMEY01359;8;7;0;0
CMEY01360;1;1;0;0
CMEY01361;4;2;0;0
CMEY01362;3;3;0;0
CMEY01363;8;8;0;0
CMEY01364;11;8;0;0
CMEY01365;6;6;0;1
CMEY01366;5;5;0;0
CMEY01367;3;4;0;1
CMEY01368;8;14;7;0
CMEY01369;7;6;1;1
CMEY01370;4;4;0;0
CMEY01371;2;1;0;0
CMEY01372;3;3;0;0
CMEY01373;4;4;0;0
CMEY01374;0;0;0;0
CMEY01375;9;8;0;0
CMEY01376;9;9;0;0
CMEY01377;10;10;0;1
CMEY01378;14;18;5;0
CMEY01379;0;5;5;0
CMEY01380;2;3;1;1
CMEY01381;14;6;0;0
CMEY01382;1;1;0;0
CMEY01383;1;1;0;0
CMEY01384;9;9;0;0
CMEY01385;6;4;1;1
CMEY01386;6;4;0;0
CMEY01387;8;6;0;1
CMEY01388;7;6;1;0
CMEY01389;4;3;0;0
CMEY01390;5;3;0;0
CMEY01391;5;7;1;1
CMEY01392;2;2;0;0
CMEY01393;4;6;1;1
CMEY01394;3;0;0;0
CMEY01395;13;8;0;0
CMEY01396;9;11;3;0
CMEY01397;4;13;9;0
CMEY01398;5;5;0;0
CMEY01399;2;2;0;0
CMEY01400;5;4;0;0
CMEY01401;5;4;0;0
CMEY01402;6;5;0;0
CMEY01403;7;6;1;0
CMEY01404;1;1;0;0
CMEY01405;19;18;2;0
CMEY01406;9;9;0;0
CMEY01407;20;27;8;1
CMEY01408;16;18;4;1
CMEY01409;16;17;2;2
CMEY01410;9;9;0;1
CMEY01411;2;3;0;1
CMEY01412;2;5;3;0
CMEY01413;10;11;1;1
CMEY01414;11;10;0;0
CMEY01415;7;9;1;1
CMEY01416;6;11;4;3
CMEY01417;10;9;0;0
CMEY01418;5;7;0;2
CMEY01419;2;2;0;0
CMEY01420;10;12;0;2
CMEY01421;11;14;2;2
CMEY01422;8;8;1;1
CMEY01423;5;4;0;0
CMEY01424;4;7;3;1
CMEY01425;14;13;2;0
CMEY01426;4;6;2;1
CMEY01427;18;16;1;1
CMEY01428;12;9;0;1
CMEY01429;6;4;0;0
CMEY01430;10;10;0;1
CMEY01431;2;2;0;0
CMEY01432;3;4;1;0
CMEY01433;9;7;0;0
CMEY01434;5;3;1;1
CMEY01435;10;7;0;0
CMEY01436;10;9;0;0
CMEY01437;16;15;0;1
CMEY01438;5;4;0;0
CMEY01439;7;6;0;1
CMEY01440;11;11;1;0
CMEY01441;4;14;10;0
CMEY01442;6;6;0;1
CMEY01443;5;7;1;1
CMEY01444;6;5;0;0
CMEY01445;5;5;0;0
CMEY01446;7;11;3;1
CMEY01447;11;12;2;1
CMEY01448;10;6;0;0
CMEY01449;9;6;0;0
CMEY01450;13;8;0;0
